text,class
เกลียด ชอบหลอกให้สั่งซื้อ ที่ไหนได้ไม่มีสินค้า,0
สินค้าด้อยคุณภาพ,0
สินค้าหมดทำไมไม่แจ้งขึ้นว่าหมดอะ กดใส่ตะกร้าไปเถอะ เซ็งเรย,0
อย่าทำแบบนี้กับใครอีกนะคะแย่มากค่ะ,0
คือแบบผิดหวังมาก แย่ที่สุดได้ของมาฝาแตก แตกนิดหน่อยไม่ว่าแตกเยอะมาก ครั้งเดียวพอจบแยก??,0
ส่งช้าจัง รอนานมาก ยกเลิกก้อไม่ได้,0
แย่มากกกกกกค่ะ เอาของพังมาให้ฉุนมากค่ะไม่พอใจเป็นอย่างมากค่ะ  ส่งของ ก็ไม่ได้ใบเสร็จ  ไม่ไหวจะเคลียร์,0
ไม่แนะนำซื้อมาใช้ได้วันเดียวใช้ไม่ได้แล้ว,0
แย่ๆสั่งสินค้าไปหลายวันแล้วไม่ส่งให้สักทีเหนื่อยกับการรอคอย,0
เสียความรู้สึกอย่างมาก สวยแต่ในรูปใส่ได้ครั้งเดียว ไม่ดี,0
ยอดเยี่ยมค่ะ ราคาเหมาะสม บอกต่อได้เลยค่ะ,1
สวยค่ะ เหมือนในรูปเลย ชอบค่ะ ส่งของไวมากก,1
ใช้ดีค่ะหนานุ่มและขาวขึ้น,1
จัดส่งเร็วมาก สะดวกดี ของจริงขนาดใหญ่กว่าที่คิดไว้ แต่ใช้งานได้ดี,1
ชอบสินค้ามาก ไม่ผิดหวังที่รอ สวยยันบรรจุภัณฑ์คับ,1
สินค้าส่งรวดเร็ว พอใจในสินค้าครับ,1
สินค้าคุณภาพดี แข็งแรง เสียงดี เด็กๆ ชอบ และยังส่งเร็วด้วยค่ะ,1
ราคากับคุณภาพของสินค้ามีความเหมาะสม ใช้งานง่าย,1
ส่งของไว ห่อพัสดุดี  ของใช้งานเยี่ยม,1
สวยค่ะ การจัดส่งก็รวดเร็วดีค่ะ,1
ใช้เดือนเดียวพังแย่ๆมากๆ,0
เสียใจความรู้สึกมากกระเป๋าบางมากไม่ตรงกะแบบสินค้าที่ลงการแพ็คของส่งก็แย่เอาถุงดำที่ใส่ขยะแถมสกปรกมาก,0
การส่งของแย่มาก ขนาดตะโกนว่ารอเดี๋ยว ยังโยนสินค้าข้ามรั้ว ถ้าโน้ตบุคเสียหายจะทำยังไง,0
ใช้ในรถระบบเสีย พังใช้ต่อไม่ได้,0
ผิดหวัง ลบไม่ออก,0
หมดอายุแล้วไม่ควรเอามาลงขายค่ะเสียใจผิดหวังมากๆค่ะกว่าจะหมดแพงด้วยนะ,0
ส่งช้ามาก ตอนนี้ยังไม่ได้ของ,0
ได้รับของแล้วผิดหวังมาก ไม่ดีเลยค่ะ,0
สินค้าไม่มีคุณภาพสายกางเกงไม่เท่ากัน,0
ช้าสุดๆรอจนรำคาญละ,0
คุณภาพคุ้มค่าครับ,1
ส่งเร็วดี ใช้ดีคุ้มมาก ราคาถูก,1
ได้รับสินค้าเร็วค่ะ และสินค้าก็มีคุณภาพ สวมใส่สบายตัวมากๆๆ เลยค่ะ,1
ได้รับของเร็วมาก แถมสินค้าได้ตามต้องการสวยมาก,1
รับประทานดีอยู่นะครับ มองเห็นความเปลี่ยนแปลงของร่างกาย ทานแล้วรู้สึกว่าดีนะ,1
ใช้ได้ดีเหมาะกับราคานี้ ก็สรุปว่าดีครับ,1
สินค้าใช้แล้วดีมากไม่ทำให้ลูกแพ้เลยแถมราคาถูกกว่าในห้างและตามร้านค้าอีก,1
ใช้งานดีมากส่งของก็เร็วของครับ,1
ส่งไวมาก สั่งตอนเย็น ตอนเช้าได้แล้ว สินค้าแพ็คมาดีมาก ใช้งานได้ปกติไม่มีปัญหาอะไร ถือว่าคุ้มค่าสุดๆครับ,1
วัสดุค่อนข้างดีนับว่าคุ้มราคาครับ,1
สินค้าไม่เหมือนในรูป ผิดหวังมาก เย็บไม่ดีเลย,0
ใช้แล้วสิวขึ้นเต็มเลยไม่รู้แพ้รึเปล่า....เซ็งเลยเหลือตั้งเยอะเสียดายมาก,0
คุณภาพแย่มากใช้งานไม่ได้แม้แต่ครั้งเดียว,0
ผิดหวังมาก ไม่แนะนำให้ใช้ค่ะ,0
สรุปแพงกว่าท้องตลาดคะแย่มากเสียความ,0
รู้สึกผิดหวังมาก ไม่ใช่แบบที่หวังไว้เลยย,0
แย่มากๆๆๆๆ ไม่ส่งของแถมมาให้ตามที่โฆษณา ,0
งานไม่ค่อยดี ไม่สมกับราคา,0
แย่มากเลย นมใกล้หมดอายุ ครั้งนี้ครั้งสุดท้ายนะคะที่จะสั่ง,0
ใช้ได้ไม่กี่เดือนก็พังล่ะยังใช้ไม่คุ้มกับราคาที่ซื้อมาเลย,0
ใส่สบายสั่งหลายรอบแล้วจร้าาา,1
ส่งของรวดเร็วดี คุณภาพใช้ได้ค่ะ,1
ใช้งานได้ดีราคาไม่แพงมาก,1
ชอบที่ส่งเร็วมากครับ ทันใจดีจิงๆ,1
รับของไว พนักงานส่งของดีมาก คุณภาพคุ้มราคา,1
ดีครับ คุ้มค่าคุ้มราคา น่าจะใช้งานได้ทนทานมือใหม่น่าเอามาใช้ครับ,1
คุณภาพพอใช้ได้  ดูบอบบางจัง ต้องดูระยะการใช้งานระยะยาวค่ะรวม ๆ ถือว่าโอเคค่ะ,1
สินค้าแพคอย่างดี ที่สำคัญส่งขอเร็วมาก คิดว่าจะได้ช้าเสียอีก,1
ส่งของไวมาก แต่ราคาขึ้นลงบ่อย ต้องเข้ามาเช็คราคาบ่อยๆ แต่คุ้มแน่นอนค่ะ เลือกซื้ออันนี้ไม่ผิดหวังค่ะ,1
ได้รับของเร็วมาก กระทะร้อนเร็ว ทำอาหารได้หลายอย่างเลยค่ะ ชอบมาก,1
เสียดายที่ไว้ใจใช้บริการผิดหวังมาก เอาสินค้าของคุณคือไปเถอะ แล้วคืนเงินให้เรา แย่มากๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,0
แย่มากอย่าสั่งนะ,0
แย่มาก รูปดูสวยหรูดีนะ แต่มาเจอของจริงนี่แย่สุดๆ สินค้าไม่สมกับราคาเลย ,0
แย่มากเสียดายเงิน,0
สินค้ามีรอยตำหนิ เป็นรอยง่าย ,0
สินค้าคุณภาพแย่มาก วัสดุเหมือนหมดอายุแล้ว,0
สินค้าส่งมาแตกหัก ยังไม่ได้ประกอบเลย เสียความรู้สึก,0
ซื้อแล้วผิดหวังสินค้าไม่มีคุณภาพ,0
แย่มาก บิดน้ำไม่แห้ง เสียดายตังมาก,0
ตกใจมาก โคตรแย่ ก่อนหน้านี้ใช้ดี ชอบมาก ปลอดภัยดี ตอนระเบิดมีกลิ่นไหม้กับประกายไฟ,0
สินค้าใช้ดีสีสดใช้จนถึงทุกวันนี้,1
ร้านนี้ ขายสินค้าตรงตามประกาศ ส่งตามกำหนด สินค้าใช้งานดี,1
ถูกกว่าในห้างเยอะเลยครับ ภาพชัด สินค้าใหม่ พนักงานบริการดีมาก สั่งสินค้ากับลาซาด้าไม่เคยผิดหวังเลยครับ,1
แรงดี หน้าจอใหญ่ ส่งของเร็ว พอใจครับ,1
จอใหญ่มาก คุณภาพเสียง ชัดเจนดีมาก โดยรวมแล้วคุ้มค่ามาก,1
พกพาสะดวก ได้ของเร็ว,1
โอเคมาก เป็นอย่างที่คาดหวังไว้ เยี่ยม,1
ได้สินค้าภายในสองวัน OK นะครับ สมราคา ใช้งานได้ปกติ,1
ดีมากๆๆคะ ได้เร็ว แพ๊คดี สินค้าสภาพดี ราคาถูก ไม่ต้องไปเดินช๊อปเอง ดีคะ,1
ส่งของรวดเร็วมาก สินค้าใหม่ด้วย โดยรวมให้คะแนนเต็มครับ,1
ไม่พึงพอใจเลย  สินค้าผลิตจากพลาสติกด้อยคุณภาพ  ก๊องแก๊งมาก,0
แพ็คของไม่ดีมากเลยครับข้างในกล่องฉีกขาดไม่สวยเลย,0
คุณภาพสินค้าไม่น่าประทับใจ,0
วัสดุแย่ ขาดง่าย เสียดายเงิน,0
อย่าขายเลย ยกเลิกโปรนี้เถอะ เสียความรู้สึก ดูมาหลายเดือนละ,0
แบตแย่มากค่ะ หมดเร็วมาก รับประกันไม่ได้ชวยอะไรเลย ,0
เห็นแล้วรู้สึกแย่ ไม่มั่นใจในสินค้าร้านนี้,0
คุณภาพแย่มากค่ะ ใช้ครั้งแรกมีกลิ่นไหม้ออกมาเลยแถมข้าวไม่สุกด้วย,0
เสียเวลามากๆ กว่าจะทำเรื่องคืนเงินได้ ของก็ต้องใช้ ต้องไปซื้อใหม่ เสียเงินซ้ำอีก ระบบการทำงานแย่มาก ส่งผิดรุ่นได้,0
หลอกลวง ต้มตุ๋น เอาของปลอมมาขาย ร้านโจร,0
ส่งเร็วทันใช้ตามความต้องการ,1
เนื้อผ้าดีแต่ไม่หนา เซ็กซี่ดีแต่ไม่โป๊ะ คุณภาพสมกับราคา,1
ง่ายดีไม่ต้องหาซื้อให้ยุ่งยาก,1
สมราคาค่ะ ภาพชัดเจน เทียบกับยี่ห้ออื่นราคาถูกกว่า,1
สวยมาใช้งานง่ายมากที่สำคัญส่งเร็วมาก,1
เสียงดี ส่งเร็ว ราคานี้คุ้มครับ ,1
ใช้ดียังไม่มีปัญหาอะไรค่ะชอบมาก,1
สเป็คถือว่าโอเครเลยคับ ไหลลื่นดีไม่มีสะดุด สมกับราคา และคุ้มค่ามากๆเลย,1
ใช้ดีส่งของไว มากเจ้านี้  วัสดุคุณภาพจริงจริง,1
แพคของเรียบร้อยดีค่ะ ส่งเร็ว ไว้จะสั่งอีกนะคะ?,1
เกรดต่ำเหมือนกับว่าเอาของถูกๆมาคละกัน,0
สั่งซื้อแล้วอยู่ดีๆมายกเลิก เสียความรู้สึกเลยครับ,0
ไม่เป็นไปตามที่โฆษณา ส่งสินค้าไม่ตรงตามกำหนด เมื่อสินค้ามีปัญหาไม่รับผิดชอบใด ,0
ไม่ซึมซับลูกอับชื้นโฆษณาเกินจริงเสียเงินฟรีไม่คุ้มแย่มาก,0
ไม่มีคู่มือ แย่มากครับ กล่องก็ไม่มี ใส่ถุงมาให้ ทุเรศมากครับ,0
สินค้าไม่ตรงปก ของคุณภาพร้อยกว่าบาท แย่ๆ,0
แย่มากๆสั่งของจ่ายเงิน แต่ไม่ได้ของ!,0
ใช้ได้แป็บเดียวพังแล้ว,0
สินค้าชำรุด ส่งมาถึงแกะดู สินค้าแตก,0
ซื้อมายังไม่ทันเล่นเลยพังซะแล้ว,0
ผ้านิ่ม เด้งๆ ดีกว่าที่คิดไว้ ชอบคะ,1
โอเครค่ะได้สินค้าตามรูปผ้าใส่สบาย,1
เสื้อสวยถูกใจค่ะส่งเร็วทันใจดี,1
คุณภาพเหมาะสมกับราคา ใช้งานOK ต่อดูภาพจากคอมชัดมาก จัดส่งเร็วดี,1
เนื้อผ้าดีมากๆๆๆๆเกินราคา กำลังจะสั่งเพิ่มอีก ช้าหน่อยแต่ได้มาไม่ผิดหวังเลยค่ะ,1
ใช้ดี ราคาไม่แพงเกินค่ะ พอใจมาก,1
ใช้ดีมากค่ะ ช่วยให้หน้าตึงขึ้น หน้าไม่เหี่ยว  เราใช้มาตลอดค่ะ สั่งอีกแน่,1
จากการพิสูจน์เป็นหนังแท้ เลือกไม่ผิด งานเย็บละเอียด ชอบครับ ,1
แพ็คสินค้าดี สินค้าคุณภาพ สมราคา แฟนประทับใจครับ,1
ส่งของได้เร็วมาก สินค้าใช้ได้ดีไม่มีปัญหา คุ้ม,1
เสียความรู้สึกค่ะมาไม่ตรงที่สั่ง,0
มันผิดพลาดอะไรหรือลงรูปเพื่อหลอกให้คนสั่งซื้ออธิบายหน่อย,0
สินค้าคุณภาพไม่ค่อยดี,0
สินค้ามีตำหนิ แย่มากๆ ไม่ไหวๆเลย ถ้ามีตำหนิก็บอกด้วยครับ จะได้ทำใจก่อนซื้อ,0
เปราะบางมากความแข็งแรงน้อย มันง่ายต่อการแตกหัก,0
ขนส่งก็ช้าสินค้ามีตำหนิแพ็คสินค้าไม่ดีมีรอยบุบ,0
สินค้าเหมือนของปลอม เนื่อครีมเหมือนซอง 10 บาท บรรจุภัณฑ์เหมือนก๊อปมา ไม่เหมือนของจริง เสียดายตังค์ ซื้อมาทิ้ง,0
รายการไม่ดี ที่จับไม่ดีและสั้น,0
ไม่,0
ไม่เรื่อง,0
ทำกลับไม่,0
ช่างเลวจริงๆ,0
ผลงานย่ำแย่จนใกล้ตกชั้น,0
อึดอัดไม่รัก,0
ปวดหัวแท้ล้า,0
ไม่เงินโว้ย,0
ขี้เกียจล้านตัว,0
แย่ว่ะ,0
ทำไมวะ,0
ไม่ชอบ,0
ร้อนตัวหรอ,0
ไม่น่ารัก,0
อำลานี้ไม่เจออีกน่ะ,0
เวลาเหนื่อยนี่บ่นใครบ้าง,0
เสีย,0
เสียความรู้สึก,0
นกบ่อยขนาดนี้ควรไปตายเกิดใหม่เถอะ,0
เจ็บเจ็บอีก,0
อิจฉาจัง,0
ไม่ต่างสัตว์เดรัจฉาน,0
หยังอายคิดอาย,0
ทุเรศ,0
ลั่นเบศพ,0
ทุเรศสุด,0
แบล็กลิสต์,0
เพ้อเจ้อคิดไปเอง มโนไปเอง,0
ไม่ซาบซึ้ง,0
ถูกทัณฑ์ทารุณแห่งนรก,0
ข่มขู่บีบบังคับ,0
เดี๋ยวเสียทีหลัง,0
เธอมองข้าม,0
อย่างนี้ไงถึงไม่อยากให้รู้เพราะว่าวุ่นวายเเค่นี้ก็พอเเล้ว,0
หลอกให้รัก,0
เเล้วทิ้งไป,0
ขี้คร้าน,0
อยู่ใกล้เอื้อมไปหาไม่ได้,0
สวยไงขนาดครีมยังขี้เกียจทา,0
เมื่อยๆๆร่างกายอ่อนเพลีย,0
ไม่มีน้ำหนัก,0
ตำหนิ,0
น้อย,0
ไม่เคย,0
หัวร้อน,0
ยากกว่ากูหลายเท่า,0
เพราะผิดหวังเยอะ,0
เจ็บเยอะ,0
นิ่งเสีย,0
เสียน้ำตา,0
มันแย่,0
เบื่อจริงๆ,0
เสื่อม,0
เรื่องนี้บางครั้งมันเกินขอบเขตของคำว่าพอเกินไป,0
ว่างไม่อะไรทำ,0
ไม่สร้างสรรค์,0
สนุกบนความทุกข์ความไม่สบายของคนอื่น,0
กลัวเจ็บ,0
เจ็บ,0
ราคาแพงเกินไปไม่คุ้ม,0
ทนการเมินใส่เเต่ไม่บอกเลิก,0
เลิกเถอะ,0
ชอบขี้งอนและน้อยใจ,0
มันรู้สึกเหนื่อยจนไม่รู้ว่าระบายออกยังไง,0
ฟุ้งซ่าน,0
หิวขี้เกียจลุกไปกิน,0
เครียดปวดหัว,0
มันเจ็บๆหัวว่ะ,0
ล้มโดนเหยียบซ้ำโดนนินทาสารพัดผิดไปหมด,0
เหี้ย,0
อันตรายสุด,0
อันตรายกว่าที่คิด,0
ร้องไห้เสียการลาจาก,0
เบื่อละคร,0
ฆ่าตัวตายจากปัญหาความเครียด,0
สังเวยชีวิต,0
น่ากลัวคือสังเวยชีวิต,0
อีเหี้ย,0
เหี้ยกว่านั้นคือกูร้องไห้ตาม,0
ความตาย,0
ขู่ให้ลบทันที,0
โบกมืออำลา,0
เสียกสอบไม่ติด,0
กูโง่ขนาดนั้นหรอ,0
ความรู้สึกกูเหี้ย,0
ผิดเองไม่พร้อม,0
ประกาศช้า,0
ไม่อยากลุ้น,0
หมดอารมณ์,0
สอบไม่ติดเสียหลาย,0
เหนื่อย,0
อย่างน้อยเพราะทำไม่ทัน,0
โครตผี,0
โดดเดี่ยวไม่มีใคร,0
เหนื่อยจนไม่อยากทำอะไรละ,0
ไม่มีใครให้กำลังใจ,0
หยิ่งเกินไป,0
ฝันสลาย,0
เหมือนฟ้าผ่าฟาดกลาง,0
แพ้,0
คือสุดยอดแห่งความห่วยแตก,0
ความกังวล,0
เจ็บ สุดๆด้วย,0
หลอกแฟนๆ ด้วยมุขเดิมๆ,0
หายหน้าหายตา ร้างราไปจากวงการตามกาลเวลา,0
ยอมแพ้ ไม่รู้ทำยังไง,0
ทอดทิ้ง,0
ทุกอย่างไร้ค่า,0
หวังอะไรลมๆ แล้งๆ ,0
น้ำใต้ศอก,0
ขายขี้หน้า,0
ไม่เห็นอะไร,0
ไม่รู้หวังอะไร,0
กลัวว่ามันไม่อนาคต,0
อันนี้ค่อนข้างแย่อยู่,0
ทำร้ายร่างกาย,0
รำคาญ,0
น่าเสียดาย,0
ลำบาก,0
ถึงไม่รัก,0
ทรนเหมือนกันทำไม,0
ฉันเสียเธอไป,0
มันยิ่งทำให้เค้าเจ็บปวด,0
เจ็บแทบตาย,0
ความหวังสุดท้ายหายไปละ,0
โคตรทรน,0
ท้อหมดแรง,0
แพ้ให้ความไม่ชัดเจน,0
ไม่พอ,0
จนไม่เงินซื้อ,0
หลอกว่ายังรักไหม,0
พลาดหลายๆอย่างสำคัญไป,0
พบการทุจริตคอรัปชั่น,0
ให้ยากกว่าเดิม,0
ไม่ความหย,0
ออกอย่างรุนแรง,0
ความน่ากลัว,0
กลิ่นเหม็นจากดาวมรณะ,0
อาคารบังอาจมองไม่เห็น,0
แย่จัง,0
กูปากชอบด่า,0
หลอกให้รักจากไป,0
ไม่เห็นค่า,0
ไม่ใครเห็นค่า,0
ใส่กูเกินไป,0
เกินพอเกินไป,0
ร้องไห้งอแงไม่ปลอบ,0
กำแย่,0
เจ้าชู้,0
หน้าแบบเซ็งกู,0
ขัดจังหวะ,0
ร้องไห้หนักก,0
หงุดหวิดโว้ย,0
ข่มขู่บังคับอยู่ยาก,0
ไม่เต็ม,0
ไอ้สัส,0
ปวดหัวหัวระเบิด,0
ตายห่าไป,0
บีบคอตาย,0
เสื่อมพัง,0
ดวงไม่ดี,0
ไล่ออก,0
กลัวจุดจบแบบนี้ั,0
เลวร้าย,0
หลงไปเสียหาย,0
ลำพังหนาว,0
ปัญหา,0
พูดให้ร้าย,0
ทำชั่ว,0
คำตอแหล,0
สงสาร,0
โหยหา,0
ดราม่าเยอะ,0
โครตกาก,0
ทำงานบกพร่องจนทำให้เดือดร้อน,0
เศร้าเสีย,0
ท้อแท้หมดกำลัง,0
ง่วง,0
ข้อสอบ,0
อ่อนแอไร้ค่าไร้ความหมาย,0
รบกวน,0
เย็นชาไม่สนใคร,0
อพยพหนีน้ำ,0
ความทุกข์ยากลำบาก,0
ล้อเล่นความรู้สึก,0
สลดหนุ่มเตกคลองดับซัดเห็นมัวถ่ายรูปไม่ช่วย,0
เสียชีวิตสลดเจ็บสาหัส,0
หลอก,0
น้ำป่าไหลท่วมฉับพลัน,0
จมน้ำตายต่อหน้า,0
สลดแม่ยักษ์ทิ้งลูกในไส้บนซากกองขยะ,0
ขี้กลัวโดนผีหลอก,0
แย่ลงไปหมด,0
หมดศรัทธา,0
ลอบสังหาร,0
เขย่าขวัญน่ากลัว,0
ฉันตื่นสายพลาดไปไม่ทันรถ,0
พลาดไปเสีย,0
ยอมแพ้,0
ดราม่าหนัก,0
เรียกร้องให้แบน,0
วายร้าย,0
ยังไม่แห้ง,0
นินทา,0
ไม่สบาย,0
ไม่ใส่,0
ขี้ลืม,0
ลืม,0
ไม่แข็งพอ,0
เกลียดหน้ามึงอ่ะ,0
ของไม่ตรงตามสั่งแม่งเสียความรู้สึกควย,0
ไม่ใครจดจำ,0
งานท่วมหัวทำตัวเหมือนว่าง,0
แปลกหน้าไม่ใครรู้จัก,0
โดนเทมันทำให้พัง,0
น้อย,0
อย่าให้พูดกวนก,0
ยาโคตรขมไม่อร่อยรสชาติแย่,0
ตอบยากจังว่ะตายหรือไง,0
ผีเหี้ยไรเเม่งกูหมั่นใส้,0
ประกาศผิด,0
เดี๋ยวนี้ไม่มีภาพเหมือนก่อนเห็นผิดบ่อย,0
เจอแบบนี้เสียความรู้สึก,0
งานระดับนี้ผิดพลาดได้ไง,0
หมดความขลังของออสการ์,0
ไม่ได้รางวัลยังไม่อายขนาดนี้,0
โหด,0
ลามก,0
ขยะแขยง,0
เสือก,0
อิจฉาสิ,0
คอยเอาก้อนหินเขวี้ยงเห่าตามทาง,0
มันนินทา,0
ผีห่าหมูหมาเรื่องนินทาอยู่,0
อยู่เมืองดัดจริตเนี่ยมันอยู่ยากจริงเนอะ,0
แพ้แล,0
โดนแทงตาย,0
ตายในหลุม,0
เถื่อน,0
มันขาดความการน้ำต่อเพื่อนมนุษย์,0
พูดไม่รู้เรื่อง,0
อดอยากไม่มีเงิน,0
อดตาย,0
สุดท้ายโดนหลอก,0
เศรษฐกิจตกต่ำตกงาน,0
หิวข้าว,0
โกรธ,0
สยองเกินบรรยาย,0
ไฟไหม้ป่า,0
เข้าผิด,0
ไม่กล้า,0
ทิ้ง,0
เสียไปง่าย,0
อารมณ์เสีย,0
เลิก,0
เศร้า,0
ทำเหี้ยไรผิด,0
ฉิบหาย,0
ประชด,0
ขอเถียงขาดดิ้น,0
เห็นร้องไห้,0
หดหู่,0
เจ็บคอไอไข้หวัด,0
เห็นแก่ตัว,0
อย่าคาดหวัง,0
หลงทาง,0
ป่วยไม่สบาย,0
โดนทิ้ง,0
ทุบตีไล่ออก,0
หมดความอดทน,0
เกรียน,0
ผิดหวัง,0
เพ้อเจ้อ,0
บาป,0
สังหาร,0
กลัวเสียมันไป,0
ถ้ามันเสียไปกู้กลับคือไม่เหมือนเดิม,0
หมดละมันพังไปหมดละมันไม่เหลืออะไรอีก,0
เกลียด,0
คิดมันน้อย,0
ลาก่อน,0
ทำตัวไร้ค่า,0
ทะเลาะ,0
หลอกลวง,0
งง,0
อวดเก่ง,0
กากเทห์ไม่เรื่อง,0
อยู่ไม่ว่า,0
ตามไม่ทัน,0
ความเสี่ยง,0
น่าสงสาร,0
เจนน็อค,0
ลาออกจากงาน,0
เหนื่อยและเพลียก,0
ถีบตกบันได,0
ขายไม่ออก,0
อกหักเพราะบอกเลิก,0
พังยับเยิน,0
ฉันผิดเอง,0
นรกของชั่ว,0
ตกนรกทั้ง,0
แสบท้อง,0
แสบแก้วหู,0
ไม่เพราะ,0
เสียเวลา,0
มองโลกแง่ร้าย,0
ร้ายกาจ,0
ร้ายหลบหนีความผิด,0
กดดัน,0
กดขี่เรียกค่าไถ่,0
กักขังสงสัย,0
กระชากหน้ากากร้าย,0
กระวนกระวาย,0
ก่อกวน,0
ก่อกรรมทำเข็ญ,0
เรื่องกรุ่ม,0
ยัดเยียดข้อกล่าวหา,0
หลบหนีเข้าโดยไม่รับอนุญาต,0
เข้,0
