text,class
โดดตบหน้าเฟีย,0
หลบหนีภาษี,0
แพ้พนัน,0
หมกมุ่นในเรื่องเพศเกินไป,0
ก่อมลพิษให้แวดล้อม,0
ภาวะโลกร้อน,0
โลกร้อน,0
ไม่,0
ปากทำพูดไม่รู้เรื่องอะไร,0
เดินลำพังเยว,0
หยุดเล่น,0
ตัดไม้ทำลายป่า,0
บุกรุกป่าไม้,0
ทำลาย,0
โลกร้อนเกิดจากการตัดไม้ทำลายป่า,0
ทำล้มเหลว,0
ไม่เหะสม,0
ไม่โปรด,0
แอบอ้างหลอกลวง,0
พวกร,0
ระยำ,0
ชิบหาย,0
สาส,0
ป่าเถื่อน,0
สอบตก,0
เบื่อโรคอ้วน,0
ล้มตกบันได,0
แทบขาด,0
รู้ตัวว่าไม่เหมือนใคร,0
ปิดกั้น,0
ท้อ,0
ถูก,0
ห่วย,0
ไม่ตอบรับกลับ,0
หมดอายุ,0
สงครามความสูญเสีย,0
เข่าอ่อน,0
โดนเหยียด,0
กังวล,0
มองโลกในแง่ร้าย,0
โกรธง่ายฉุนเฉียวบ่อย,0
อ่อนเพลียง่าย,0
ว้าวุ่น,0
คิดไม่ตก,0
อ้วกไม่สบาย,0
รู้สึกแย่จัง,0
ซ้ำรัก,0
สละสิทธิ์,0
ตกสัมภาษณ์,0
บ่น,0
ไว้อาลัย,0
พรากจากไป,0
งี่เง่า,0
ประชดประชัน,0
ข่มจุดด้อย,0
เลอะเทอะ,0
ย้อนแย้ง,0
ละเมิดทำร้ายอื่น,0
เลื่อนหาย,0
เหยียด,0
ไม่ระวังจึงเกิดอุบัติเหตุ,0
เจ็บเกินพอหรือยังเมื่อไรพอซะทีต่างต่างรู้ว่าทำไม่,0
แทงดำ,0
มั่วแม่ง,0
เซ็งเบื่อ,0
ลีลาน่ารำคาญจริง,0
เกียจคร้าน,0
ทำงานแสนเข็ญ,0
เลือดไหล,0
รับความเสียหาย,0
โกง,0
เสียวตกบันได,0
โดนแบน,0
วิบัติ,0
อาบัติ,0
ล่วงละเมิด,0
ไร้สาระ,0
บรรลัย,0
เมื่อยหลายๆ,0
หล่นหาย,0
มลทิน,0
มลพิษ,0
ยาพิษ,0
เซ็ง,0
พูดจาหไม่แดก,0
เห็บ,0
เพชฌฆาต,0
ชกมก,0
อัปมงคล,0
อัปยศ,0
ล้อเลียน,0
ขัดข้อง,0
ปัญหา,0
ข้อพิพาทยังไม่ยุติ,0
คอมมิวนิสต์เผด็จการ,0
หนี้สิน,0
เหินห่าง,0
อู้งาน,0
ขัดขืน,0
ปลดระวาง,0
ข่มขืน,0
กระทืบ,0
กระทำชำ,0
กระทำอนาจาร,0
แก่งแย่งชิง,0
ข่มขวัญ,0
ขัดขวาง,0
ขี้โม้,0
คดโกง,0
คลื่นไส้,0
คลาดเคลื่อน,0
คว่ำบาตร,0
คอร์รัปชัน,0
คัดค้าน,0
เคร่งเครียด,0
ถูก,0
หมิ่น,0
ทุบตี,0
ดำ,0
เนร,0
แตกสลาย,0
ขาดดุล,0
ขาดทุน,0
หลบหน้า,0
เดือดเนื้อร้อน,0
โง่ปัญญาอ่อน,0
อืดช้า,0
แผลหมดสนุก,0
ความเหลื่อมล้ำ,0
จากหรือจากตายสุดท้ายจากไป,0
เหลือความทรงจำรอลืมเลือน,0
ไม่รอยยิ้ม,0
ตอกย้ำความเจ็บปวด,0
ไม่เมตตาปราณี,0
สายเกินไป,0
พลัดพราก,0
กักขัง,0
สยองขวัญ,0
ด่าหีแหก,0
ไร้สาระ,0
โกหก,0
ดันทุรังดื้อดึง,0
กวนตีน,0
เวิ้งว้าง,0
ไว้อาลัย,0
ซ้ำ,0
ตัณหา,0
ลืมตัว,0
โง่เขลา,0
สาบสูญ,0
จรจัด,0
งอแง,0
ขัดผลประโยชน์,0
ฉิบหาย,0
สมเพช,0
เบียดเบียน,0
ขยะสังคมสัส,0
ด่าลับหลัง,0
เสียดสี,0
มะเร็ง,0
อคติ,0
ไม่ทันคิด,0
แหกตา,0
ไม่รู้จักโลก,0
โวยวาย,0
เฮงซวย,0
แม่งมั่วซั่วไปหมด,0
เสียสติด้วยความคลั่ง,0
อุปสรรค,0
ขัดสน,0
ทวงแค้น,0
กลุ้มอึดอัด,0
ไม่ไหว,0
อันตรายถึงตาย,0
งงงวย,0
ก้าวร้าว,0
ยากก,0
เบลอ,0
ปล้น,0
โดนดุ,0
อุบาท,0
ครหา,0
โสโครก,0
หายนะ,0
กระวนกระวาย,0
เวียนหัว,0
ซ้ำร้าย,0
ฟุ้งเฟ้อ,0
ฟุ่มเฟือย,0
ด้านลบ,0
หงุดหงิด,0
ไม่เนียน,0
ประจาน,0
ดับอนาถ,0
เศร้าสลดเสีย,0
ยกเลิก,0
ถลอก,0
เจตนาไม่ดี,0
อ่อนเพลีย,0
ระงับ,0
สิ้นเปลือง,0
วังเวงน่าสยดสยอง,0
เยาะเย้ย,0
อิจฉาริษยา,0
เบียดเสียดเยียดยัด,0
เกะกะ,0
อาฆาตดร้าย,0
หมิ่นประท,0
หมิ่น,0
สาปแช่ง,0
โจมตี,0
ผิดเพี้ยน,0
คงร้องไห้,0
ไม่เข้า,0
ระแวง,0
ย่อยยับ,0
สกปรก,0
อัปปรี,0
เหน็บแนม,0
ติดคุก,0
ขาดแคลน,0
คุกคาม,0
โกรธแคือง,0
ล้าหลัง,0
ยุ่งยาก,0
ริดรอน,0
นักเลง,0
กำพร้า,0
พาล,0
บิดเบือน,0
กลั่นแกล้ง,0
ขัดแข้งขัดขา,0
ขัดผลประโยชน์,0
หกล้ม,0
ย่อท้อ,0
เหงา,0
โรยร่วง,0
บ่ฮัก,0
คลุมเครือ,0
ยาจก,0
เสแสร้งจอมปลอม,0
ตอแหล,0
ช็อค,0
ล่าช้า,0
โมโห,0
เหยียดหยาม,0
หวั่นไหว,0
สูญเสีย,0
ตำหนิ,0
แตกแยก,0
ด่างพร้อย,0
หยาบคาย,0
พังทลาย,0
ทรุดโทรม,0
แตกหัก,0
กบฏ,0
ข่มเหง,0
ยุ่งเหยิง,0
โลเล,0
ชิ,0
ชิชะ,0
ชิชิ,0
แล้ว,0
ว้า,0
เสร็จ,0
เสร็จเลย,0
หือ,0
หน็อยแน่,0
อูย,0
โอย,0
โอ๊ย,0
แฮก,0
สัสเสีอก,0
อีเหี้ย,0
เจ็บแสบ,0
ลาก่อน,0
ดี,1
ขอบคุณ,1
สู้เสมอ,1
ผ่าน,1
โคตรสนุก,1
สุดยอด,1
น่ารัก,1
ขอบคุณทุก,1
คงคิดถึง,1
เก็บเวลาที่ดีให้เราได้จดจำ,1
ทำข้อสอบให้ได้,1
สู้,1
รอยยิ้มในความทรงจำ,1
ทุกนี้ฉันคิดถึง,1
ความทรงจำที่ดีเหลือเกิน,1
รักมาก คิดถึงมาก,1
ดีใจ,1
รัก,1
ห่วง,1
รักแฟนขี้บ่นจัง,1
ขอบคุณผู้ใจดี,1
มิตรภาพดี,1
ที่รัก,1
ชอบจัง,1
ความทรงจำที่ยังสวยงาม,1
ช่วงเวลาที่รู้จักถึงจะไม่นานแต่คือช่วงที่ดีที่สุด,1
เปลี่ยนไปรัก รักจนหมดหัวใจ,1
ดีใจด้วย,1
ปลอดภัย,1
ทรงพระเจริญ,1
ใจเย็น,1
ดูแลตัวเองด้วย,1
ขอบคุณมิตรภาพดี เพื่อนที่ดี,1
โอกาศดี แบบนี้ห้ามพลาด,1
ขอบคุณ,1
ง่าย,1
มองโลกในแง่ดี,1
ไม่ต้องกลัว,1
คุณโชคดีกว่าหลายมาก,1
อดทนต่อไป,1
ชอบใครก็ชวนมาลองชิมที่คุณทำ,1
ดูแลตัวเองก็มั่นใจในตัวเองมากขึ้นยิ้มบ่อย,1
คบนาน สนิทมาก เดี๋ยวก็หาย,1
ใช้ความรักพลัง,1
ไม่ขี้งอนไม่น้อยใจใครแม้แต่เพื่อนสนิท,1
รักตัวเองให้มาก,1
ไม่ต้องคิดมาก,1
กำลังใจให้,1
พรุ่งนี้ต้องดีกว่านี้,1
ความมิตร  จริงใจ  ทำดีต่อ,1
ขอบใจมาก,1
โคตรหล่อ,1
หยุดยิ้มไม่ได้,1
อารมณ์ดีเพราะความสุข,1
ทั้งคู่เหมาะสมมาก,1
สวยงามมาก,1
สิ่งที่รู้สึกอยากเห็นมาก,1
เค้าดี,1
บรรยากาศอบอุ่นดีมาก,1
ชอบจัง,1
ขำตลกจริง,1
ดี,1
ทำไมน่ารักขนาดนี้,1
น่ารักมาก อบอุ่น,1
เดินทางปลอดภัย,1
อบอุ่นจัง,1
โครตฮาหัวเราะอร่อยมาก,1
ชอบ,1
ไม่เดือดร้อน,1
ทำไมน่าร๊าก,1
นี่ถือตัวอย่างที่ดี,1
อวยพร,1
โชคดี,1
อย่าได้ไปหวังอะไรลม แล้ง,1
ความหวังในอนาคต,1
เขียนได้ดีอ่านเพลินมาก,1
อย่าปล่อยให้อดีตทำร้ายปัจจุบัน,1
เธอคงความสุขดีในที่ฉันความสุขเธอ,1
ขอให้ความสุข,1
ความรู้สึกที่ยังเหมือนเดิม,1
ให้โอกาส,1
ความสุข,1
ประโยชน์,1
รัก,1
ดีที่สุด,1
ดีใจความสุข,1
ยังไม่ลืม,1
ชอบที่เธอแกล้งเราแอบไปยิ้ม,1
กินของอร่อยความสุข,1
สาธุ,1
เอาเงินมาบริจาค,1
ความพยายามอยู่ที่ไหนความสำเร็จอยู่ที่นั้น,1
สวยรวยเก่งค่าการศึกษา,1
น่าอยู่น่าเที่ยว,1
ข้อดี,1
สะดวกง่ายเข้าใจเร็วนึกออกง่าย,1
ไม่เสียใจ,1
การค้นพบที่น่าตื่นเต้นที่สุด,1
สบายใจ,1
ชัดเจน,1
ยังรอดชีวิต,1
ถ่ายทำได้ดีมากมุมสวย,1
มองเย็นใจ,1
จังหวะดีฝีมือเทพน่านับถือ,1
นี้ฟ้าโปร่งสดใส,1
เห็นชัดเจน,1
ทัศนียภาพตื่นตาตื่นใจ,1
เพลิดเพลินทิวทัศน์,1
น่าสนดีเหมือนแปลกใหม่น่าท้าลอง,1
กำลังกลับมา,1
สุขสันต์เกิด,1
สวัสดีปีใหม่,1
รัก,1
วิเศษรอยยิ้มสายตาอบอุ่น,1
ขอบคุณทุกครั้งที่คอยปลอบฉัน,1
ชัดเจนแค่เห็นก็ชื่นใจ,1
ตื่นเต้น,1
น่ารักที่สุด,1
เข้าใจตรง,1
ความทรงจำดี,1
คิดถึงเหมือน,1
ดวงดี,1
ให้โอกาสแก้ตัว,1
สอบได้,1
สอบติด,1
เย้ดีใจด้วย,1
อดทนไว้,1
สิ่งดีงามควรรักษา,1
ความสุขง่ายขึ้นอยู่ใจ,1
อย่าทิ้งเค้า,1
สำคัญ,1
เข้มแข็งเข้าไว้สู้,1
เห็นด้วย,1
พูดดี,1
แคร์ตัวเอง,1
บินไปให้ถึงฝัน,1
การทำความดี,1
ชนะใจด้วยการกระทำ,1
ความสมบูรณ์แบบ,1
ความสุขในความคิด,1
ชื่นชมทำได้ดีมาก,1
ปังมาก,1
ดีช่วยที่กำลังจะตกจากอาคารสูงน่าชื่นชม,1
ชอบช่วยเหลือผู้อื่น,1
มิตรภาพที่ดีที่สุด,1
เชื่อมั่นคุณธรรมความดี,1
หอมน่ากิน,1
อยากรัก,1
น่าเรียนจัง,1
น่ากินน่าอร่อย,1
ยินดีที่ได้รู้จัก,1
ใส่บาตรทำบุญ,1
นี้ที่ดี,1
สู้ต่อไปสู้ต่อ,1
แคร์ความรู้สึก,1
เราโอเค,1
ผูกพัน,1
มากอดมา,1
สนใจ,1
กำลังใจ,1
สำคัญสุด,1
ขอข้ารองพระบาททุกชาติไป,1
ไม่ไหนไม่คิดถึง,1
เรารักในหลวง,1
อยากรู้จักจัง,1
ยกความดีความชอบให้,1
ช่วงที่ดีที่สุด,1
ไทยไม่ทิ้งเร่งช่วยเหลือ,1
เหลือเชื่อมาก,1
น่าตื่นเต้นและยิ่งใหญ่มาก,1
เจ๋งไป,1
ทำทุกอย่างเพื่อปกป้องโลก,1
อดใจรอไม่ไหว,1
พอใจการทำงาน,1
ภาคภูมิใจ,1
ศรัทธา,1
เจริญเติบโตอย่างแข็งแกร่งและสวยงาม,1
ตอบแทนความหวังดีด้วยการตั้งใจเรียนตั้งใจทำงาน,1
อยากกลับไปรื้อฟื้นความทรงจำดี,1
พยายามสุดความสามารถ,1
จะสู้จนกว่าจะชนะ,1
สนุกมาก,1
สนุกสนาน,1
ฉันเคยเกือบพลาดสิ่งที่ดีที่สุดในชีวิต,1
ขอบคุณที่รัก,1
อย่ายอมแพ้,1
ถึงเส้นชัย,1
ชัยชนะสิ่งที่คุ้มค่า,1
อย่าอ่อนแอแม้จะร้องไห้,1
อย่าอ่อนแอร้องไห้ไปสู้,1
ศรัทธาไม่ท้อ,1
อร่อยที่สุดในโลก,1
จุดมุ่งหมายอันทะเยอทะยาน,1
เซอร์ไพรส์,1
จะไม่ลืมดีนี้,1
สู้สู้,1
นับช่วงชีวิตที่ดีที่สุดแม้แค่เพียงเวลาสั้น,1
มาเชียร์เพื่อน,1
รักให้ทำปากจู๋ขอหัวใจละดวงจุ้บ,1
พยายามแบ๊ว,1
ดีที่สุด,1
ขอกำลังใจหน่อย,1
ทุกพูดความจริง,1
เธอน่ารักจังทำให้ใจเซ,1
กล้องของที่สวยงาม,1
ข่าวดีมาบอก,1
น่ารักแถมความรู้ด้วยสนใจป่าว,1
เธอเรียบร้อย,1
ชอบจิตใจดีและขยันมากกว่า,1
ปรบมือตามระเบียบ,1
น้ำใจนักกีฬา,1
ปลอดภัยไว้ก่อนป้องกันไว้,1
เข้าใจง่ายสะดวกรวดเร็ว,1
คุณค่าที่คู่ควร,1
น่ารักอ่ะอยากเดินจับมือไปจนแก่,1
ว้อนอยากได้,1
ไม่อดตาย,1
สนับสนุนส่งเสริมความสามัคคี,1
อยู่ไหนก็รักเหมือนเดิม,1
ขอกอดหน่อย,1
ดีเนาะ,1
ฝันดี,1
ของอร่อยน่ากิน,1
เห็นด้วย,1
ดีต่อใจ,1
ประหยัด,1
เชียร์,1
สดใส,1
เก่งขึ้นมาก,1
ขอบคุณที่ติดตาม,1
ฝีมือพัฒนาเร็วมาก,1
คำพูดหวานหวาน,1
หวานน่ากิน,1
จีบหวาน,1
คบไหม,1
แอบรัก,1
คาดหวัง,1
เขิน,1
เพื่อนรัก,1
ได้ฉันก็ได้,1
ฝึกฝนจนเก่ง,1
ชอบความรู้สึกแบบนี้น่ะ,1
ตั้งเเต่เราคุยเหมือนเราเจอมากขึ้น,1
ให้นึกถึง,1
เชื่อมั่นในตนเอง,1
แรงบันดาลใจให้ใฝ่เรียน,1
ห่วงเสมอ,1
ได้ฟังเพลงที่ชอบ,1
แบบโมเม้นที่ความรักรักเราทำอะไรซักอย่างให้เรามั่นใจแบบนี้ได้โคตรปลื้มใจ,1
ถึงแพ้ก็จะไม่ยอมถอย,1
ลาก่อนเดี๋ยวได้เจออีก,1
สู้ไม่ถอย,1
จุดหมายไม่ไกลเกินจริง,1
ตามทัน,1
มั่นคง,1
สุขใจขอบคุณเวลา,1
คุยได้,1
ความรู้สึกไว้เติมใจ,1
ขอบใจ,1
ขายดี,1
ไว้เจออีกทีในเวลาที่เหมาะสม,1
รักอยู่เคียงข้างเสมอ,1
แฮปปี้ความสุขรักเสมอ,1
ชมว่าสวยขึ้นน่ารักขึ้น,1
ของน่ารัก,1
บรรยากาศดีสีสัน,1
ของโปรด,1
สวรรค์,1
เพราะจัง,1
เพลงไพเราะมาก,1
พรวิเศษ,1
เรื่องน่ายินดีใจมาก,1
กล้าหาญ,1
การันตี,1
อนุมัติ,1
ตัดสินใจได้เด็ดขาด,1
ตัดสินคดีอย่างยุติธรรม,1
อนุญาตให้เข้ามาได้,1
รักษ์โลกรักษ์สิ่งแวดล้อม,1
ง่ายที่ใครก็ทำได้,1
ออกกำลังกาย,1
รีไซเคิลนำกลับมาใช้ใหม่ลดโลกร้อน,1
ช่วยลดโลกร้อนด้วยการรณรงค์ร่วมมือลดมลพิษ,1
อยู่อย่างพอเพียงปลูกผักปลอดสารพิษ,1
โอเะไม่เสียใจ,1
สร้างสันติภาพ,1
จงนับถือตัวเองให้มากพอที่จะรู้ว่าคู่ควรสิ่งที่ดีที่สุด,1
ความท้าทายสิ่งที่ทำให้ชีวิตน่าสนใจแต่การเอาชนะให้ได้สิ่งที่ทำให้ชีวิตความหมาย,1
อนาคตของขึ้นอยู่สิ่งที่ทำในนี้ไม่ใช่พรุ่งนี้,1
อย่าเพิ่งยอมแพ้จุดเริ่มต้นนั้นมักจะยากที่สุดเสมอ,1
สิ่งเดียวที่แน่นอนที่สุดในชีวิตคือความเปลี่ยนแปลง,1
ความรักชนะความรักความสงบสุข,1
ทุกที่ประสบชัยชนะในสิ่งใดที่ทำต้องเต็มใจตั้งใจ,1
ความปรารถนาอันร้อนแรงชัยชนะความสำเร็จ,1
จงแน่วแน่ในการตัดสินใจแต่ให้ยืดหยุ่นการลงมือทำ,1
ความมั่นใจมาจากการไม่กลัวที่จะทำอะไรผิด,1
วิธีให้กำลังใจตัวเองที่ดีที่สุดคือการให้กำลังใจอื่น,1
ก็ได้ค้นพบตัวเอง,1
สิ่งนี้เกิดขึ้นจากแรงบันดาลใจ,1
ไตร่ตรองและมองด้านบวกเข้าไว้ ,1
การเริ่มต้นทำสิ่งเดิมอีกครั้งอย่างชาญฉลาดกว่าเดิม,1
ฮาขำ,1
ราตรีสวัสดิ์,1
กล้าคิดกล้าทำ,1
ทำความดี,1
เธอคือทุกอย่างในชีวิต,1
สดชื่นใจอากาศดีนี้,1
อีกไม่นานเกินรอทุกอย่างจะดีขึ้น,1
สัญญาว่ารักเธอเดียว,1
แน่ใจว่าทำได้แน่นอน,1
สอบผ่าน,1
รักเสมอ,1
ของขวัญที่ค่า,1
สมหวังทุกประการ,1
อยากให้เธออยู่เคียงข้างฉันอย่างนี้ทุกคืนอย่างนี้ตลอดไป,1
พร้อมที่จะเผชิญความจริง,1
รูปนี้รู้สึกอบอุ่น,1
อย่างน้อยสนใจ,1
ยิ้ม,1
กำลังใจ,1
ฝัน,1
แรงใจ,1
ดวงใจลุกโชนความหวัง,1
แสงงสว่างส่องใจ,1
การชำระจิตหรือใจให้ผ่องใสสิ่งสำคัญที่สุดที่พึ่งปรารถนาที่สุดของผู้ปัญญาทั้งหลาย,1
ทำจิตให้สงบจะพบทางออก,1
ความพร้อมอยู่ที่เรา,1
ลงมือทำอย่างต่อเนื่องเท่านั้นเอง,1
ไม่ถูกตัวเอง,1
ต้องเชื่อในศักยาภาพของคุณและความพยายามที่,1
นี่สิ่งล้ำค่า,1
ห่วงใย,1
สันติภาพสิ่งที่คาดหวัง,1
หยิบยื่นโอกาส,1
สานต่อความฝันให้จริง,1
ไม่ต้องกังวลใจ,1
มองโลกในแง่ดี,1
ทำได้ดีกว่านี้อีก,1
อยากให้อ่านกำลังใจขึ้น,1
อดทนรอฟ้าใส,1
เจอที่ใช่และพร้อมฝ่าฟันทุกอย่างไปเรา,1
เดินสายปฎิบัติธรรมไปวัดทำบุญ,1
พบมุมมองดี,1
ที่ปรึกษาที่ดี,1
ผ่านสัมภาษณ์,1
ปรับปรุง,1
ที่ยึดเหนี่ยวทางใจ,1
ทัศนคติที่ดี,1
แนวทางแก้ปัญหา,1
มองโลกกว้าง,1
ศักดิ์ศรี,1
ไม่เลื่อนหาย,1
ความรวมน้ำใจรวมพลัง,1
คุณภาพดี,1
ขอให้ปราถนาที่ตั้งใจไว้ด้วย,1
ยิ้มรอดีกว่า,1
ทำให้ศรัทธาที่จะรำลึกถึงพระเพื่อดำรงพระศาสนาให้ยืนนานสาธุ,1
สาธุคำสอนที่ตรงและถูกต้องที่สุด,1
ประพฤติดี,1
เอง,1
ให้ข้อคิดดี,1
บุญกุศล,1
รักเสมือนพี่น้อง,1
ชนะเลิศ,1
ได้รางวัลเหรียญทอง,1
ให้อภัย,1
รักษาโรค,1
เข้าใจดี,1
ทำให้ดีกว่าเดิม,1
เบิกบาน,1
เชิดชู,1
เชิดหน้าชูตา,1
สามัคคีหนึ่งเดียว,1
เกียรติยศ,1
การกุศล,1
คึกครื้น,1
เตรียมตัวให้พร้อม,1
เสรีภาพบนเสรีประชาธิปไตย,1
คุ้มค่า,1
สุภาพเรียบร้อย,1
ขัดขืนต่อสู้เพื่อป้องกันตัวเอง,1
ประทับใจ,1
สาระประโยชน์,1
กลับตัวกลับใจดี,1
ได้กำไร,1
คลี่คลาย,1
โล่งใจ,1
รวดเร็วทันใจ,1
ใจเย็น,1
ตอกย้ำความทรงจำดี,1
หวานใจ,1
เมตตาปราณี,1
พัฒนาตนเองสม่ำเสมอด้วยความไม่ย่อท้อ,1
สานฝันให้จริง,1
อาสา,1
อยากกอด,1
เตือนสติ,1
สันติสุข,1
สำนึก,1
เลือกตามใจ,1
โครตน่ารัก,1
มหัศจรรย์,1
สิ่งพิเศษ,1
วิเศษ,1
ผ่อนคลาย,1
ยอมรับ,1
เจริญรุ่งเรือง,1
เสียสละ,1
ไถ่โทษ,1
ไถ่บาป,1
อบอวล,1
สะอาด,1
เอาใจใส่,1
ภาวนา,1
ฟุ้งเฟื่อง,1
เกียรติคุณ,1
ด้านบวก,1
ปลื้มดีใจ,1
คึกคัก,1
เจตนาดี,1
จิตแจ่มใส,1
เปรี้ยงปร้าง,1
ฮิต,1
ที่นิยม,1
ปลอบใจ,1
ปรองดอง,1
ไมตรี,1
มารยาท,1
รอบคอบ,1
บริสุทธิ์ใจ,1
เคารพนับถือ,1
วุฒิภาวะ,1
สุขุม,1
ฟื้นฟู,1
ล้ำสมัย,1
ดีที่สุด,1
ทันเวลาพอดี,1
สุจริต,1
น่าเชื่อถือ,1
เท่ห์,1
ไว้วางใจ,1
เสน่ห์,1
ทรงพลัง,1
ฮัก,1
ทุ่มเท,1
ภักดี,1
งอกงาม,1
คุ้มครอง,1
พึ่งพา,1
พึ่งพิง,1
ยิ้มแย้ง,1
ประเสริฐ,1
คลี่คลาย,1
เที่ยงธรรม,1
ชดเชย,1
เอื้อเฟื้อเผื่อแผ่,1
เยียวยา,1
คล่องตัว,1
คล่องแคล่ว,1
อุทิศ,1
เอ็นดู,1
เพียงพอ,1
เพลิดเพลิน,1
ถูกใจ,1
ไลค์,1
อลังการ,1
ว้าย,1